esemeny_id;gep_azonosito;datum;kezdes_idopont;vege_idopont;idotartam_perc;tevekenyseg_kod;megjegyzes
1;HA-ENI;2025.01.01;0:00:00;1:00:00;60,00;m;
2;HA-ENI;2025.01.01;1:00:00;2:00:00;60,00;m;
3;HA-ENI;2025.01.01;2:00:00;3:00:00;60,00;m;
4;HA-ENI;2025.01.01;3:00:00;4:00:00;60,00;m;
5;HA-ENI;2025.01.01;4:00:00;5:00:00;60,00;m;
6;HA-ENI;2025.01.01;5:00:00;6:00:00;60,00;m;
7;HA-ENI;2025.01.01;6:00:00;7:00:00;60,00;m;
8;HA-ENI;2025.01.01;7:00:00;8:00:00;60,00;m;
9;HA-ENI;2025.01.01;8:00:00;9:00:00;60,00;m;
10;HA-ENI;2025.01.01;9:00:00;10:00:00;60,00;sz;
11;HA-ENI;2025.01.01;10:00:00;11:00:00;60,00;sz;
12;HA-ENI;2025.01.01;11:00:00;12:00:00;60,00;sz;
13;HA-ENI;2025.01.01;12:00:00;13:00:00;60,00;sz;
14;HA-ENI;2025.01.01;13:00:00;14:00:00;60,00;sz;
15;HA-ENI;2025.01.01;14:00:00;15:00:00;60,00;sz;
16;HA-ENI;2025.01.01;15:00:00;16:00:00;60,00;m;
17;HA-ENI;2025.01.01;16:00:00;17:00:00;60,00;m;
18;HA-ENI;2025.01.01;17:00:00;18:00:00;60,00;m;
19;HA-ENI;2025.01.01;18:00:00;19:00:00;60,00;m;
20;HA-ENI;2025.01.01;19:00:00;20:00:00;60,00;m;
21;HA-ENI;2025.01.01;20:00:00;21:00:00;60,00;m;
22;HA-ENI;2025.01.01;21:00:00;22:00:00;60,00;m;
23;HA-ENI;2025.01.01;22:00:00;23:00:00;60,00;m;
24;HA-ENI;2025.01.01;23:00:00;0:00:00;60,00;m;
25;HA-ENI;2025.01.02;0:00:00;1:00:00;60,00;m;
26;HA-ENI;2025.01.02;1:00:00;2:00:00;60,00;m;
27;HA-ENI;2025.01.02;2:00:00;3:00:00;60,00;m;
28;HA-ENI;2025.01.02;3:00:00;4:00:00;60,00;m;
29;HA-ENI;2025.01.02;4:00:00;5:00:00;60,00;m;
30;HA-ENI;2025.01.02;5:00:00;6:00:00;60,00;m;
31;HA-ENI;2025.01.02;6:00:00;7:00:00;60,00;m;
32;HA-ENI;2025.01.02;7:00:00;8:00:00;60,00;o;
33;HA-ENI;2025.01.02;8:00:00;9:00:00;60,00;o;
34;HA-ENI;2025.01.02;9:00:00;10:00:00;60,00;o;
35;HA-ENI;2025.01.02;10:00:00;11:00:00;60,00;o;
36;HA-ENI;2025.01.02;11:00:00;12:00:00;60,00;o;
37;HA-ENI;2025.01.02;12:00:00;13:00:00;60,00;o;
38;HA-ENI;2025.01.02;13:00:00;14:00:00;60,00;o;
39;HA-ENI;2025.01.02;14:00:00;15:00:00;60,00;o;
40;HA-ENI;2025.01.02;15:00:00;16:00:00;60,00;o;
41;HA-ENI;2025.01.02;16:00:00;17:00:00;60,00;o;
42;HA-ENI;2025.01.02;17:00:00;18:00:00;60,00;m;
43;HA-ENI;2025.01.02;18:00:00;19:00:00;60,00;m;
44;HA-ENI;2025.01.02;19:00:00;20:00:00;60,00;m;
45;HA-ENI;2025.01.02;20:00:00;21:00:00;60,00;m;
46;HA-ENI;2025.01.02;21:00:00;22:00:00;60,00;m;
47;HA-ENI;2025.01.02;22:00:00;23:00:00;60,00;m;
48;HA-ENI;2025.01.02;23:00:00;0:00:00;60,00;m;
49;HA-ENI;2025.01.03;0:00:00;1:00:00;60,00;m;
50;HA-ENI;2025.01.03;1:00:00;2:00:00;60,00;m;
51;HA-ENI;2025.01.03;2:00:00;3:00:00;60,00;m;
52;HA-ENI;2025.01.03;3:00:00;4:00:00;60,00;m;
53;HA-ENI;2025.01.03;4:00:00;5:00:00;60,00;m;
54;HA-ENI;2025.01.03;5:00:00;6:00:00;60,00;m;
55;HA-ENI;2025.01.03;6:00:00;7:00:00;60,00;m;
56;HA-ENI;2025.01.03;7:00:00;8:00:00;60,00;o;
57;HA-ENI;2025.01.03;8:00:00;9:00:00;60,00;o;
58;HA-ENI;2025.01.03;9:00:00;10:00:00;60,00;o;
